,DEPT,AGK,BK,DS,DT,GGKP,GK,GZ1,GZ2,GZ3,GZ4,GZ5,IK,LIT_new,MBK,MDS,MGZ,MPZ,NGK,NKT,PS,PZ,SATURAT_new,Soil_new,kp_new,well,FZ,EF_b
14675,3727.3,0.726000011,20.25,NaN,230.97999573,2.5160000324,6.2230000496,9.8800001144,25.700000763,31.659999847,19.63999939,19.079999924,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.9380002022,NaN,27.329999924,0.0,NaN,13.704000473,235,2.0,2.0
14676,3727.4,0.6740000248,20.540000916,NaN,230.5,2.5940001011,6.5729999542,10.0,26.219999313,32.759998322,20.549999237,19.790000916,NaN,1.0,NaN,NaN,NaN,NaN,NaN,7.5450000763,NaN,27.540000916,0.0,NaN,13.704000473,235,2.0,2.0
14677,3727.5,0.5450000167,21.190000534,NaN,230.33000183,2.4809999466,7.4369997978,10.180000305,26.540000916,33.36000061,22.36000061,20.440000534,NaN,2.0,NaN,NaN,NaN,NaN,NaN,7.4000000954,NaN,27.950000763,NaN,NaN,NaN,235,2.0,2.0
14678,3727.6,0.4810000062,20.899999619,NaN,229.11000061,2.5529999733,7.8699998856,10.25,27.379999161,35.400001526,23.5,21.61000061,NaN,2.0,NaN,NaN,NaN,NaN,NaN,7.3579998016,NaN,28.190000534,NaN,NaN,NaN,235,2.0,2.0
14679,3727.7,0.5429999828,25.920000076,NaN,225.97999573,2.4509999752,7.4530000687,10.229999542,27.979999542,36.830001831,25.780000687,22.25,NaN,2.0,NaN,NaN,NaN,NaN,NaN,7.5120000839,NaN,28.649999619,NaN,NaN,NaN,235,2.0,2.0
14680,3727.8,0.7039999962,34.790000916,NaN,221.33999634,2.4790000916,6.373000145,10.5,30.190000534,38.200000763,27.090000153,22.959999084,NaN,2.0,NaN,NaN,NaN,NaN,NaN,7.8390002251,NaN,29.059999466,NaN,NaN,NaN,235,2.0,2.0
14681,3727.9,0.7889999747,44.979999542,NaN,216.53999329,2.5250000954,5.8070001602,11.460000038,31.629999161,41.720001221,28.299999237,23.329999924,NaN,2.0,NaN,NaN,NaN,NaN,NaN,8.3669996262,NaN,29.010000229,NaN,NaN,NaN,235,2.0,2.0
14682,3728.0,0.773999989,52.979999542,NaN,213.55000305,2.5629999638,5.9070000648,11.899999619,33.419998169,43.819999695,31.120000839,23.569999695,NaN,2.0,NaN,NaN,NaN,NaN,NaN,9.3100004196,NaN,28.760000229,NaN,NaN,NaN,235,2.0,2.0
14683,3728.1,0.7419999838,42.630001068,NaN,213.6000061,2.5639998913,6.123000145,12.420000076,36.669998169,46.75,32.180000305,23.629999161,NaN,2.0,NaN,NaN,NaN,NaN,NaN,9.267999649,NaN,28.510000229,NaN,NaN,NaN,235,2.0,2.0
14684,3728.2,0.7269999981,26.090000153,NaN,216.47999573,2.5710000992,6.2230000496,13.649999619,37.819999695,47.779998779,33.740001678,23.459999084,NaN,2.0,NaN,NaN,NaN,NaN,NaN,8.3249998093,NaN,28.069999695,NaN,NaN,NaN,235,2.0,2.0
14685,3728.3,0.746999979,26.840000153,NaN,221.24000549,2.5729999542,6.0900001526,13.840000153,38.180000305,49.180000305,34.200000763,22.729999542,NaN,2.0,NaN,NaN,NaN,NaN,NaN,8.4510002136,NaN,27.659999847,NaN,NaN,NaN,235,2.0,2.0
14686,3728.4,0.7369999886,20.290000916,NaN,226.83000183,2.5220000744,6.1570000648,14.300000191,39.209999084,49.099998474,34.549999237,22.239999771,NaN,1.0,NaN,NaN,NaN,NaN,NaN,8.1149997711,NaN,26.559999466,0.0,NaN,12.937999725,235,2.0,2.0
14687,3728.5,0.7020000219,17.030000687,NaN,232.00999451,2.4530000687,6.3899998665,14.390000343,39.029998779,49.060001373,34.599998474,21.229999542,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.9380002022,NaN,25.950000763,0.0,NaN,12.937999725,235,2.0,2.0
14688,3728.6,0.6480000019,15.630000114,NaN,236.08999634,2.4739999771,6.7569999695,13.670000076,38.419998169,48.369998932,34.75,20.770000458,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.7140002251,NaN,24.700000763,0.0,NaN,12.937999725,235,2.0,2.0
14689,3728.7,0.6129999757,14.529999733,NaN,239.09999084,2.5269999504,6.9899997711,13.300000191,37.939998627,47.630001068,34.5,19.799999237,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.6440000534,NaN,24.059999466,0.0,NaN,12.937999725,235,2.0,2.0
14690,3728.8,0.5139999986,13.140000343,NaN,241.42999268,2.5469999313,7.6529998779,12.75,37.580001831,45.759998322,33.939998627,19.340000153,NaN,0.0,NaN,NaN,NaN,NaN,NaN,6.1820001602,NaN,22.870000839,NaN,NaN,NaN,235,2.0,2.0
14691,3728.9,0.4550000131,11.109999657,NaN,243.41999817,2.5339999199,8.0500001907,12.470000267,36.659999847,45.099998474,33.540000916,18.940000534,NaN,0.0,NaN,NaN,NaN,NaN,NaN,5.9159998894,NaN,22.340000153,NaN,NaN,NaN,235,2.0,2.0
14692,3729.0,0.3409999907,11.739999771,NaN,245.08000183,2.486000061,8.8129997253,11.859999657,35.38999939,43.619998932,33.130001068,18.170000076,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.8979997635,NaN,21.430000305,NaN,NaN,NaN,235,2.0,2.0
14693,3729.1,0.3759999871,13.300000191,NaN,246.21000671,2.4690001011,8.5799999237,11.039999962,33.689998627,42.959999084,32.069999695,17.899999619,NaN,0.0,NaN,NaN,NaN,NaN,NaN,4.8319997787,NaN,21.170000076,NaN,NaN,NaN,235,2.0,2.0
14694,3729.2,0.4280000031,12.140000343,NaN,246.61000061,2.5280001163,8.2329998016,10.960000038,33.029998779,41.979999542,31.36000061,17.13999939,NaN,0.0,NaN,NaN,NaN,NaN,NaN,5.0149998665,NaN,21.030000687,NaN,NaN,NaN,235,2.0,2.0
14695,3729.3,0.4880000055,12.529999733,NaN,246.41000366,2.5039999485,7.8330001831,10.159999847,31.780000687,40.759998322,30.790000916,16.75,NaN,0.0,NaN,NaN,NaN,NaN,NaN,5.5279998779,NaN,20.920000076,NaN,NaN,NaN,235,2.0,2.0
14696,3729.4,0.5400000215,16.86000061,NaN,246.1499939,2.4909999371,7.4869999886,9.5500001907,28.229999542,40.150001526,30.38999939,16.079999924,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.5609998703,NaN,20.870000839,0.0,NaN,14.251000404,235,2.0,2.0
14697,3729.5,0.5569999814,18.350000381,NaN,245.96000671,2.5669999123,7.3699998856,9.9499998093,28.069999695,38.380001068,29.270000458,15.920000076,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.4210000038,NaN,20.819999695,0.0,NaN,14.251000404,235,2.0,2.0
14698,3729.6,0.6710000038,14.529999733,NaN,245.47000122,2.4249999523,6.6069998741,9.9899997711,27.700000763,37.549999237,28.86000061,15.630000114,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.5279998779,NaN,20.899999619,0.0,NaN,14.251000404,235,2.0,2.0
14699,3729.7,0.699000001,13.630000114,NaN,245.16001892,2.4869999886,6.4229998589,9.8699998856,25.579999924,36.490001678,28.399999619,15.079999924,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.7049999237,NaN,21.129999161,0.0,NaN,14.251000404,235,2.0,2.0
14700,3729.8,0.7480000257,14.210000038,NaN,246.16000366,2.513999939,6.0900001526,9.6999998093,24.86000061,36.049999237,27.440000534,14.779999733,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.8319997787,NaN,21.069999695,0.0,NaN,14.251000404,235,2.0,2.0
14701,3729.9,0.6940000057,14.760000229,NaN,248.38999939,2.5380001068,6.4569997787,9.8100004196,24.100000381,35.61000061,26.930000305,14.229999542,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.5279998779,NaN,20.989999771,0.0,NaN,14.251000404,235,2.0,2.0
14702,3730.0,0.7089999914,15.18999958,NaN,250.41000366,2.493999958,6.3569998741,9.720000267,23.829999924,34.720001221,26.459999084,14.069999695,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.0840001106,NaN,20.850000381,0.0,NaN,14.251000404,235,2.0,2.0
14703,3730.1,0.6940000057,15.460000038,NaN,251.05999756,2.486000061,6.4569997787,9.9399995804,23.950000763,34.549999237,26.260000229,13.800000191,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.1579999924,NaN,20.739999771,0.0,NaN,14.251000404,235,2.0,2.0
